Date,price,log_returns
2005-12-05,16.899967193603516,
2005-12-06,16.30498695373535,-0.03584067161818159
2005-12-07,16.17206573486328,-0.00818559259873156
2005-12-08,16.07079315185547,-0.006281881913674763
2005-12-09,16.22270965576172,0.009408556604026237
2005-12-12,16.608810424804688,0.02352121185385899
2005-12-13,16.456899642944336,-0.009188482590811077
2005-12-14,16.26702117919922,-0.011605002699996285
2005-12-15,16.0264835357666,-0.01489724290004234
2005-12-16,16.013826370239258,-0.0007900776380055659
2005-12-19,16.007505416870117,-0.0003947964121707933
2005-12-20,15.868249893188477,-0.008737450031120733
2005-12-21,15.982182502746582,0.007154257380008528
2005-12-22,15.893571853637695,-0.005559766609551883
2005-12-23,16.140417098999023,0.015411763527026568
2005-12-27,16.23536491394043,0.0058653772198000815
2005-12-28,15.855598449707031,-0.02366922984239156
2005-12-29,15.823945045471191,-0.0019983504354722866
2005-12-30,16.140417098999023,0.01980220305806377
2006-01-03,16.583492279052734,0.027081254484171396
2006-01-04,16.456899642944336,-0.007662939100318781
2006-01-05,16.684764862060547,0.013751198872980598
2006-01-06,17.235441207885742,0.03247177984064742
2006-01-09,17.108854293823242,-0.0073716747108803285
2006-01-10,16.811355590820312,-0.017541538361713616
2006-01-11,16.570831298828125,-0.014410587008355511
2006-01-12,16.450572967529297,-0.00728369163177002
2006-01-13,16.127765655517578,-0.019817945962101707
2006-01-17,15.861924171447754,-0.016620830362312617
2006-01-18,16.248027801513672,0.024050004216361866
2006-01-19,16.184730529785156,-0.0039032974899596805
2006-01-20,15.811291694641113,-0.02334388885978717
2006-01-23,16.342966079711914,0.03307324658496031
2006-01-24,17.026565551757812,0.040977208273456564
2006-01-25,16.710081100463867,-0.018762607853769844
2006-01-26,16.969594955444336,0.015411014685978821
2006-01-27,16.963268280029297,-0.0003728937015686843
2006-01-30,17.260759353637695,0.01738536269501712
2006-01-31,16.539186477661133,-0.04270317644545712
2006-02-01,16.54551124572754,0.0003823379736659307
2006-02-02,16.23536491394043,-0.01892295891944474
2006-02-03,16.24169921875,0.0003900786637616038
2006-02-06,16.355628967285156,0.006990156480939154
2006-02-07,16.159414291381836,-0.012069309346461738
2006-02-08,16.46956443786621,0.019011289960599653
2006-02-09,16.22270965576172,-0.015102006857833793
2006-02-10,16.115108489990234,-0.006654843712509463
2006-02-13,16.165740966796875,0.003137000368983447
2006-02-14,16.203716278076172,0.002346367961290785
2006-02-15,16.210052490234375,0.0003909580699609176
2006-02-16,15.918889999389648,-0.018125119552414318
2006-02-17,16.36196517944336,0.027452990624521913
2006-02-21,16.013826370239258,-0.021506947734829498
2006-02-22,15.969529151916504,-0.0027700187127931274
2006-02-23,15.95053768157959,-0.001189939399369198
2006-02-24,15.6256685256958,-0.020577558754813954
2006-02-27,15.81676197052002,0.012155281551361665
2006-02-28,15.581080436706543,-0.015012876194405054
2006-03-01,15.702108383178711,0.00773760955144678
2006-03-02,15.32628059387207,-0.02422595452298065
2006-03-03,15.275315284729004,-0.0033308953210373863
2006-03-06,15.275315284729004,0.0
2006-03-07,15.517374992370605,0.01572221794415711
2006-03-08,15.377238273620605,-0.009071981491166968
2006-03-09,15.262578964233398,-0.007484368703906999
2006-03-10,15.256206512451172,-0.00041760848443367403
2006-03-13,15.300787925720215,0.0029179208047262566
2006-03-14,15.262578964233398,-0.002500312320292696
2006-03-15,15.504632949829102,0.015734866087287656
2006-03-16,15.42819595336914,-0.004942137835404287
2006-03-17,15.682997703552246,0.016380435306096956
2006-03-20,15.542855262756348,-0.008976112319011192
2006-03-21,15.784917831420898,0.015453852107354983
2006-03-22,15.976015090942383,0.01203362420235884
2006-03-23,15.854986190795898,-0.007604503692344307
2006-03-24,15.944161415100098,0.00560866971505043
2006-03-27,15.784917831420898,-0.01003779022506497
2006-03-28,15.5556001663208,-0.014634203407627895
2006-03-29,15.56833267211914,0.0008181810810810103
2006-03-30,15.44093132019043,-0.00821703274224638
2006-03-31,15.275315284729004,-0.010783716026613646
2006-04-03,15.733959197998047,0.029583237249887345
2006-04-04,15.77853775024414,0.0028292637080410774
2006-04-05,15.861359596252441,0.005235291016793392
2006-04-06,16.224449157714844,0.022633374405124893
2006-04-07,16.01423454284668,-0.013041326140190889
2006-04-10,15.854986190795898,-0.009993948634234006
2006-04-11,15.67026424407959,-0.011719117740280182
2006-04-12,15.6256685256958,-0.0028499389295267847
2006-04-13,15.829506874084473,0.012960741703145985
2006-04-17,15.740318298339844,-0.005650257012141221
2006-04-18,15.797658920288086,0.0036362944099796657
2006-04-19,15.644773483276367,-0.009724860974455046
2006-04-20,15.6256685256958,-0.0012219181265294271
2006-04-21,15.804020881652832,0.011349413485647825
2006-04-24,15.804020881652832,0.0
2006-04-25,16.16074562072754,0.022320798087678416
2006-04-26,16.020612716674805,-0.008709004032781208
2006-04-27,16.243549346923828,0.013819678806483885
2006-04-28,16.224449157714844,-0.001176554902797144
2006-05-01,16.421918869018555,0.012097647094724936
2006-05-02,16.275402069091797,-0.008962066395095612
2006-05-03,16.40280532836914,0.007797484313935966
2006-05-04,16.587533950805664,0.01119906961721727
2006-05-05,16.804121017456055,0.012972708559783901
2006-05-08,16.94426155090332,0.008305069949298274
2006-05-09,16.98885154724121,0.0026281126564538944
2006-05-10,16.753156661987305,-0.013970639644984942
2006-05-11,16.5111026763916,-0.014553653851087653
2006-05-12,16.345474243164062,-0.010081989769869838
2006-05-15,16.345474243164062,0.0
2006-05-16,16.77227020263672,0.025775885193270297
2006-05-17,16.434656143188477,-0.020334654849941014
